番号,表示・通知義務対象物質,CAS番号,表示裾切,通知裾切,Substances,"Content (Weight Percent)
for GHS Label","Content (Weight Percent)
for SDS",特化則※１,有機則※２,鉛則・四アルキル鉛則※３,石綿則※４,表示LEFT,表示value,通知LEFT,通知value
161,クロロメタン（別名塩化メチル）,74-87-3,0.3%未満,0.1%未満,Chloromethane (alias Methyl chloride),"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
162,４―クロロ―２―メチルアニリン,95-69-2,0.1%未満,0.1%未満,4-Chloro-2-methylaniline,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
162,４―クロロ―２―メチルアニリン塩酸塩,3165-93-3,0.1%未満,0.1%未満,4-Chloro-2-methylaniline hydrochloride,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
162-2,Ｏ―３―クロロ―４―メチル―２―オキソ―２Ｈ―クロメン―７―イル＝Ｏ′Ｏ′′―ジエチル＝ホスホロチオアート,56-72-4,1%未満,1%未満,"O-3-Chloro-4-methyl-2-oxo-2H-chromen-7-yl O,O-diethyl phosphorothioate","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
163,クロロメチルメチルエーテル,107-30-2,0.1%未満,0.1%未満,Chloromethyl methyl ether,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
164,軽油,64741-44-2,1%未満,0.1%未満,Light oil; Gas oil,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
165,けつ岩油,68308-34-9,0.1%未満,0.1%未満,Shale oils,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
165-2,結晶質シリカ,14808-60-7他,0.1%未満,0.1%未満,"Silica, crystalline","0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
166,ケテン,463-51-4,1%未満,1%未満,Ketene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
167,ゲルマン,7782-65-2,1%未満,1%未満,Germanium tetrahydride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
168,鉱油,＊,1%未満,0.1%未満,Mineral oil,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
169,五塩化りん,10026-13-8,1%未満,1%未満,Phosphorus pentachloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
170,固形パラフィン,8002-74-2,1%未満,1%未満,Paraffin wax,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
171,五酸化バナジウム ,1314-62-1,0.1%未満,0.1%未満,Vanadium pentaoxide,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
172,コバルト及びその化合物,＊,0.1%未満,0.1%未満,Cobalt and its compounds,"0.1%, no less than ","0.1%, no less than ","○第2類
※有機化合物を除く",,,,0.1%,0.1%,0.1%,0.1%
173,五弗化臭素,7789-30-2,1%未満,1%未満,Bromine pentafluoride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
174,コールタール,＊,0.1%未満,0.1%未満,Coal tar,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
175,コールタールナフサ,＊,1%未満,1%未満,Coal tar naphtha,"1%, no less than ","1%, no less than ",,○第3種,,,1%,1.0%,1%,1.0%
176,酢酸,64-19-7,1%未満,1%未満,Acetic acid,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
177,酢酸エチル,141-78-6,1%未満,1%未満,Ethyl acetate,"1%, no less than ","1%, no less than ",,○第2種,,,1%,1.0%,1%,1.0%
178,酢酸１，３―ジメチルブチル,108-84-9,1%未満,1%未満,"1,3-Dimethylbutyl acetate","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
179,酢酸鉛,301-04-2,0.3%未満,0.1%未満,Lead acetate,"0.3%, no less than ","0.1%, no less than ",,,○,,0.3%,0.3%,0.1%,0.1%
180,酢酸ビニル,108-05-4,1%未満,0.1%未満,Vinyl acetate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
181,酢酸ブチル,下記,1%未満,1%未満,Butyl acetate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
181,酢酸ｎ－ブチル,123-86-4,1%未満,1%未満,n-Butyl acetate,"1%, no less than ","1%, no less than ",,○第2種,,,1%,1.0%,1%,1.0%
181,酢酸イソブチル,110-19-0,1%未満,1%未満,Isobutyl acetate,"1%, no less than ","1%, no less than ",,○第2種,,,1%,1.0%,1%,1.0%
181,酢酸tert－ブチル,540-88-5,1%未満,1%未満,tert-Butyl acetate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
181,酢酸sec－ブチル,105-46-4,1%未満,1%未満,sec-Butyl acetate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
182,酢酸プロピル,下記,1%未満,1%未満,Propyl acetate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
182,酢酸ｎ－プロピル,109-60-4,1%未満,1%未満,n-Propyl acetate,"1%, no less than ","1%, no less than ",,○第2種,,,1%,1.0%,1%,1.0%
182,酢酸イソプロピル,108-21-4,1%未満,1%未満,Isopropyl acetate,"1%, no less than ","1%, no less than ",,○第2種,,,1%,1.0%,1%,1.0%
183,酢酸ベンジル,140-11-4,1%未満,1%未満,Benzyl acetate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
184,酢酸ペンチル（別名酢酸アミル）,628-63-7他,1%未満,0.1%未満,Pentyl acetate (alias Amyl acetate),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
184,酢酸ｎ－ペンチル（別名酢酸ｎ－アミル）,628-63-7,1%未満,0.1%未満,n-Pentyl acetate (alias n-Amyl acetate),"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
184,酢酸イソペンチル（別名酢酸イソアミル）,123-92-2,1%未満,0.1%未満,Isopentyl acetate (alias Isoamyl acetate),"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
185,酢酸メチル,79-20-9,1%未満,1%未満,Methyl acetate,"1%, no less than ","1%, no less than ",,○第2種,,,1%,1.0%,1%,1.0%
186,サチライシン,9014-01-1,1%未満,0.1%未満,Subtilisins,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
187,三塩化りん,7719-12-2,1%未満,1%未満,Phosphorus trichloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
188,酸化亜鉛,1314-13-2,1%未満,0.1%未満,Zinc oxide,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
189,酸化アルミニウム,1344-28-1,1%未満,1%未満,Aluminum oxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
190,酸化カルシウム,1305-78-8,1%未満,1%未満,Calcium oxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
191,酸化チタン（Ⅳ）,13463-67-7,1%未満,0.1%未満,Titanium(IV) oxide,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
192,酸化鉄,1309-37-1,1%未満,1%未満,Iron oxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
193,１，２―酸化ブチレン,106-88-7,1%未満,0.1%未満,"1,2-Butylene oxide; 1,2-Epoxybutane","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
194,酸化プロピレン,75-56-9,0.1%未満,0.1%未満,"Propylene oxide; 1,2-Epoxypropane","0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
195,酸化メシチル,141-79-7,1%未満,0.1%未満,Mesityl oxide; 4-Methyl-3-penten-2-one,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
196,三酸化二ほう素,1303-86-2,1%未満,1%未満,Boron trioxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
197,三臭化ほう素,10294-33-4,1%未満,1%未満,Boron tribromide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
197-2,三弗化アルミニウム,7784-18-1,1%未満,0.1%未満,Aluminum trifluoride,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
198,三弗化塩素,7790-91-2,1%未満,1%未満,Chlorine trifluoride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
199,三弗化ほう素,7637-07-2,1%未満,1%未満,Boron trifluoride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
200,次亜塩素酸カルシウム,7778-54-3,1%未満,0.1%未満,Calcium hypochlorite,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
201,Ｎ，Ｎ′―ジアセチルベンジジン,613-35-4,1%未満,0.1%未満,"N,N'-Diacetylbenzidine","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
202,ジアセトンアルコール,123-42-2,1%未満,0.1%未満,Diacetone alcohol; 4-Hydroxy-4-methylpentan-2-one,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
203,ジアゾメタン,334-88-3,0.2%未満,0.1%未満,Diazomethane,"0.2%, no less than ","0.1%, no less than ",,,,,0.2%,0.2%,0.1%,0.1%
204,シアナミド,420-04-2,1%未満,0.1%未満,Cyanamide,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
205,２―シアノアクリル酸エチル,7085-85-0,1%未満,0.1%未満,Ethyl 2-cyanoacrylate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
206,２―シアノアクリル酸メチル,137-05-3,1%未満,0.1%未満,Methyl 2-cyanoacrylate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
207,２，４―ジアミノアニソール,615-05-4,1%未満,0.1%未満,"2,4-Diaminoanisole","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
208,４，４′―ジアミノジフェニルエーテル,101-80-4,1%未満,0.1%未満,"4,4'-Diaminodiphenyl ether","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
209,４，４′―ジアミノジフェニルスルフィド,139-65-1,1%未満,0.1%未満,"4,4'-Diaminodiphenyl sulfide","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
210,４，４′―ジアミノ―３，３′―ジメチルジフェニルメタン,838-88-0,1%未満,0.1%未満,"4,4'-Diamino-3,3'-dimethyldiphenylmethane; 4,4'-Methylenebis(2-methylbenzenamine)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
211,２，４―ジアミノトルエン,95-80-7,1%未満,0.1%未満,"2,4-Diaminotoluene","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
212,四アルキル鉛,＊,－,0.1%未満,Tetraalkyllead,－,"0.1%, no less than ",,,○,,0,0.0%,0.1%,0.1%
213,シアン化カリウム,151-50-8,1%未満,1%未満,Potassium cyanide,"1%, no less than ","1%, no less than ",○第2類,,,,1%,1.0%,1%,1.0%
214,シアン化カルシウム,592-01-8,1%未満,1%未満,Calcium cyanide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
215,シアン化水素,74-90-8,1%未満,1%未満,Hydrogen cyanide,"1%, no less than ","1%, no less than ",○第2類,,,,1%,1.0%,1%,1.0%
216,シアン化ナトリウム,143-33-9,1%未満,0.1%未満,Sodium cyanide,"1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
217,ジイソブチルケトン,108-83-8,1%未満,1%未満,Diisobutyl ketone,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
218,ジイソプロピルアミン,108-18-9,1%未満,1%未満,Diisopropylamine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
219,ジエタノールアミン,111-42-2,1%未満,0.1%未満,"Diethanolamine; 2,2'-Iminodiethanol","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
220,２―（ジエチルアミノ）エタノール,100-37-8,1%未満,1%未満,2-(Diethylamino)ethanol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
221,ジエチルアミン,109-89-7,1%未満,1%未満,Diethylamine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
222,ジエチルケトン,96-22-0,1%未満,1%未満,Diethyl ketone,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
223,ジエチル―パラ―ニトロフェニルチオホスフェイト（別名パラチオン）,56-38-2,1%未満,0.1%未満,"Diethyl-p-nitrophenylthiophosphate; O,O-Diethyl O-4-nitrophenyl phosphorothioate (alias Parathion)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
224,１，２―ジエチルヒドラジン,1615-80-1,1%未満,0.1%未満,"1,2-Diethylhydrazine","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
224-2,Ｎ，Ｎ―ジエチルヒドロキシルアミン,3710-84-7,1%未満,1%未満,"N,N-Diethylhydroxylamine","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
224-3,ジエチレングリコールモノブチルエーテル,112-34-5,1%未満,1%未満,Diethylene glycol monobutyl ether,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
225,ジエチレントリアミン,111-40-0,0.3%未満,0.1%未満,"Diethylenetriamine; 2,2'-Iminodi(ethylamine)","0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
226,四塩化炭素,56-23-5,1%未満,0.1%未満,Carbon tetrachloride,"1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
227,１，４―ジオキサン,123-91-1,1%未満,0.1%未満,"1,4-Dioxane","1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
228,１，４―ジオキサン―２，３―ジイルジチオビス（チオホスホン酸）Ｏ，Ｏ，Ｏ′，Ｏ′―テトラエチル（別名ジオキサチオン）,78-34-2,1%未満,1%未満,"O, O, O' ,O'-Tetraethyl 1,4-dioxane-2,3-diyldithiobis (thiophosphonate); S,S'-1,4-Dioxane-2,3-diylbis(O,O-diethyl phosphorodithioate) (alias Dioxathion)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
229,１，３―ジオキソラン,646-06-0,1%未満,0.1%未満,"1,3-Dioxolane","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
230,シクロヘキサノール,108-93-0,1%未満,0.1%未満,Cyclohexanol,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
231,シクロヘキサノン,108-94-1,1%未満,0.1%未満,Cyclohexanone,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
232,シクロヘキサン,110-82-7,1%未満,1%未満,Cyclohexane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
233,シクロヘキシルアミン,108-91-8,0.1%未満,0.1%未満,Cyclohexylamine,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
234,２―シクロヘキシルビフェニル,10470-01-6,1%未満,0.1%未満,2-Cyclohexylbiphenyl,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
235,シクロヘキセン,110-83-8,1%未満,1%未満,Cyclohexene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
236,シクロペンタジエニルトリカルボニルマンガン,12079-65-1,1%未満,1%未満,Cyclopentadienyltricarbonyl manganese; Tricarbonyl(η-cyclopentadienyl) manganese,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
237,シクロペンタジエン,542-92-7,1%未満,1%未満,Cyclopentadiene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
238,シクロペンタン,287-92-3,1%未満,1%未満,Cyclopentane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
239,ジクロロアセチレン,7572-29-4,1%未満,1%未満,Dichloroacetylene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
240,ジクロロエタン,下記,1%未満,0.1%未満,Dichloroethane,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
240,１，１－ジクロロエタン,75-34-3,1%未満,0.1%未満,"1,1-Dichloroethane","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
240,１，２－ジクロロエタン,107-06-2,1%未満,0.1%未満,"1,2-Dichloroethane","1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
241,ジクロロエチレン,下記,1%未満,0.1%未満,Dichloroethylene; Dichloroethene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
241,１，１－ジクロロエチレン,75-35-4,1%未満,0.1%未満,"1,1-Dichloroethylene; 1,1-Dichloroethene","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
241,１，２－ジクロロエチレン,540-59-0,1%未満,0.1%未満,"1,2-Dichloroethylene; 1,2-Dichloroethene","1%, no less than ","0.1%, no less than ",,○第1種,,,1%,1.0%,0.1%,0.1%
241-2,ジクロロ酢酸,79-43-6,1%未満,0.1%未満,Dichloroacetic acid,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
242,３，３′―ジクロロ―４，４′―ジアミノジフェニルメタン,101-14-4,0.1%未満,0.1%未満,"3,3'-Dichloro-4,4'-diaminodiphenylmethane; 4,4'-Methylenebis(2-chloroaniline)","0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
243,ジクロロジフルオロメタン（別名ＣＦＣ―１２）,75-71-8,1%未満,1%未満,Dichlorodifluoromethane (alias CFC-12),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
244,１，３―ジクロロ―５，５―ジメチルイミダゾリジン―２，４―ジオン,118-52-5,1%未満,1%未満,"1,3-Dichloro-5,5-dimethylimidazolidine-2,4-dione","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
245,３，５―ジクロロ―２，６―ジメチル―４―ピリジノール（別名クロピドール）,2971-90-6,1%未満,1%未満,"3,5-Dichloro-2,6-dimethyl-4-pyridinol (alias Clopidol)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
246,ジクロロテトラフルオロエタン（別名ＣＦＣ―１１４）,76-14-2,1%未満,1%未満,Dichlorotetrafluoroethane (alias CFC-114),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
247,２，２―ジクロロ―１，１，１―トリフルオロエタン（別名ＨＣＦＣ―１２３）,306-83-2,1%未満,1%未満,"2,2-Dichloro-1,1,1-trifluoroethane (alias HCFC-123)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
248,１，１―ジクロロ―１―ニトロエタン,594-72-9,1%未満,1%未満,"1,1-Dichloro-1-nitroethane","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
249,３―（３，４―ジクロロフェニル）―１，１―ジメチル尿素（別名ジウロン）,330-54-1,1%未満,1%未満,"3-(3,4-Dichlorophenyl)-1,1-dimethylurea (alias Diuron)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
250,２，４―ジクロロフェノキシエチル硫酸ナトリウム,136-78-7,1%未満,1%未満,"Sodium 2,4-dichlorophenoxyethyl sulfate","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
251,２，４―ジクロロフェノキシ酢酸,94-75-7,1%未満,0.1%未満,"(2,4-Dichlorophenoxy)acetic acid","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
252,１，４―ジクロロ―２―ブテン,764-41-0,0.1%未満,0.1%未満,"1,4-Dichloro-2-butene","0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
253,ジクロロフルオロメタン（別名ＨＣＦＣ―２１）,75-43-4,1%未満,0.1%未満,Dichlorofluoromethane (alias HCFC-21),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
254,１，２―ジクロロプロパン,78-87-5,0.1%未満,0.1%未満,"1,2-Dichloropropane","0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
255,２，２―ジクロロプロピオン酸,75-99-0,1%未満,1%未満,"2,2-Dichloropropionic acid","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
256,１，３―ジクロロプロペン,542-75-6,1%未満,0.1%未満,"1,3-Dichloropropene","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
257,ジクロロメタン（別名二塩化メチレン）,75-09-2,1%未満,0.1%未満,Dichloromethane (alias Methylenedichloride),"1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
258,四酸化オスミウム,20816-12-0,1%未満,1%未満,Osmium tetraoxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
259,ジシアン,460-19-5,1%未満,1%未満,Dicyan,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
260,ジシクロペンタジエニル鉄,102-54-5,1%未満,1%未満,Dicyclopentadienyl iron; Bis(η-cyclopentadienyl)iron,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
261,ジシクロペンタジエン,77-73-6,1%未満,1%未満,"Dicyclopentadiene; 3a,4,7,7a-Tetrahydro-4,7-methanoindene","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
262,２，６―ジ―ターシャリ―ブチル―４―クレゾール,128-37-0,1%未満,0.1%未満,"2,6-Di-tert-butyl-4-cresol; 2,6-Di-tert-butyl-4-methylphenol","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
263,１，３―ジチオラン―２―イリデンマロン酸ジイソプロピル（別名イソプロチオラン）,50512-35-1,1%未満,1%未満,"Diisopropyl 1,3-dithiolan-2-ylidenemalonate (alias Isoprothiolane)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
264,ジチオりん酸Ｏ―エチル―Ｏ―（４―メチルチオフェニル）―Ｓ―ノルマル―プロピル（別名スルプロホス）,35400-43-2,1%未満,1%未満,O-Ethyl O-4-methylthiopenyl S-propyl phosphorodithioate (alias Sulprofos),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
265,ジチオりん酸Ｏ，Ｏ―ジエチル―Ｓ―（２―エチルチオエチル）（別名ジスルホトン）,298-04-4,1%未満,0.1%未満,"O,O-Diethyl S-(2-ethylthioethyl) phosphorodithioate (alias Disulfoton)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
266,ジチオりん酸Ｏ，Ｏ―ジエチル―Ｓ―エチルチオメチル（別名ホレート）,298-02-2,1%未満,0.1%未満,"O,O-Diethyl S-ethylthiomethyl phosphorodithioate (alias Phorate)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
266-2,ジチオりん酸Ｏ，Ｏ―ジエチル―Ｓ―（ターシャリ―ブチルチオメチル）(別名テルブホス）,13071-79-9,1%未満,0.1%未満,"S-tert-butylthiomethyl O,O-diethylphosphorodithioate","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
267,ジチオりん酸Ｏ，Ｏ―ジメチル―Ｓ―［（４―オキソ―１，２，３―ベンゾトリアジン―３（４Ｈ）―イル）メチル］（別名アジンホスメチル）,86-50-0,1%未満,0.1%未満,"O,O-Dimethyl S-[(4-oxo-1,2,3-benzotriazine-3(4H)-yl)methyl] phosphorodithioate; S-(3,4-Dihydroxy-4-oxobenzo[d][1,2,3]triazin-3-ylmethyl) O,O-dimethyl phosphorodithioate (alias Azinphosmethyl)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
268,ジチオりん酸Ｏ，Ｏ―ジメチル―Ｓ―１，２―ビス（エトキシカルボニル）エチル（別名マラチオン）,121-75-5,1%未満,0.1%未満,"O,O-Dimethyl S-1,2-bis(ethoxycarbonyl)ethyl phosphorodithioate; Diethyl[(dimethoxyphosphinothioyl)thio]butanedioate (alias Malathion)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
269,ジナトリウム＝４―［（２，４―ジメチルフェニル）アゾ］―３―ヒドロキシ―２，７―ナフタレンジスルホナート（別名ポンソーＭＸ）,3761-53-3,1%未満,0.1%未満,"Disodium 4-[(2,4-dimethylphenyl)azo]-3-hydroxy-2,7-naphthalenedisulfonate (alias Ponceau MX)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
270,ジナトリウム＝８―［［３，３′―ジメチル―４′―［［４―［［（４―メチルフェニル）スルホニル］オキシ］フェニル］アゾ］［１，１′―ビフェニル］―４―イル］アゾ］―７―ヒドロキシ―１，３―ナフタレンジスルホナート（別名ＣＩアシッドレッド１１４）,6459-94-5,1%未満,0.1%未満,"Disodium 8-[[3,3'-dimethyl-4'-[[4-[[(4-methylphenyl)sulfonyl]oxy] phenyl] azo][1,1'-biphenyl]-4-yl]azo]-7-hydroxy-1,3-naphthalene disulfonate (alias CI acid red 114)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
271,ジナトリウム＝３―ヒドロキシ―４―［（２，４，５―トリメチルフェニル）アゾ］―２，７―ナフタレンジスルホナート（別名ポンソー３Ｒ）,3564-09-8,1%未満,0.1%未満,"Disodium 3-hydroxy-4-[(2,4,5-trimethylphenyl)azo]-2,7-naphthalenedisulfonate (alias Ponceau 3R)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
272,２，４―ジニトロトルエン,121-14-2,1%未満,0.1%未満,"2,4-Dinitrotoluene","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
273,ジニトロベンゼン,25154-54-5,1%未満,0.1%未満,Dinitrobenzene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
274,２―（ジ―ノルマル―ブチルアミノ）エタノール,102-81-8,1%未満,1%未満,2-(Di-n-butylamino) ethanol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
275,ジ―ノルマル―プロピルケトン,123-19-3,1%未満,1%未満,Di-n-propyl ketone,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
276,ジビニルベンゼン,1321-74-0,1%未満,0.1%未満,Divinylbenzene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
277,ジフェニルアミン,122-39-4,1%未満,0.1%未満,Diphenylamine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
278,ジフェニルエーテル,101-84-8,1%未満,1%未満,Diphenyl ether,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
279,１，２―ジブロモエタン（別名ＥＤＢ）,106-93-4,0.1%未満,0.1%未満,"1,2-Dibromoethane (alias EDB)","0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
