物質ID,出典,CAS RN,日本語名,英語名,窒素等価係数,酸素等量係数,pH,最大濃度,最小濃度,酸 (pH≦2),塩基 (pH≧11.5),無機塩類,アルデヒド類,フェノール類,界面活性剤、その他の成分,爆発物,可燃性ガス,エアゾール,酸化性ガス,高圧ガス,引火性液体,可燃性固体,自己反応性化学品,自然発火性液体,自然発火性固体,自己発熱性化学品,水反応可燃性化学品,酸化性液体,酸化性固体,有機過酸化物,金属腐食性化学品,鈍性化爆発物,急性毒性（経口）,急性毒性（経皮）,急性毒性（吸入：気体）,急性毒性（吸入：蒸気）,急性毒性（吸入：粉じん、ミスト）,皮膚腐食性及び皮膚刺激性,眼に対する重篤な損傷性又は眼刺激性,呼吸器感作性,皮膚感作性,生殖細胞変異原性,発がん性,生殖毒性,生殖毒性・授乳影響,特定標的臓器毒性（単回ばく露）,特定標的臓器毒性（単回ばく露）区分（1）,特定標的臓器毒性（単回ばく露）臓器種（1）,特定標的臓器毒性（単回ばく露）暴露経路（1）,特定標的臓器毒性（単回ばく露）区分（2）,特定標的臓器毒性（単回ばく露）臓器種（2）,特定標的臓器毒性（単回ばく露）暴露経路（2）,特定標的臓器毒性（単回ばく露）区分（3）,特定標的臓器毒性（単回ばく露）臓器種（3）,特定標的臓器毒性（単回ばく露）暴露経路（3）,特定標的臓器毒性（単回ばく露）区分（4）,特定標的臓器毒性（単回ばく露）臓器種（4）,特定標的臓器毒性（単回ばく露）暴露経路（4）,特定標的臓器毒性（単回ばく露）区分（5）,特定標的臓器毒性（単回ばく露）臓器種（5）,特定標的臓器毒性（単回ばく露）暴露経路（5）,特定標的臓器毒性（単回ばく露）区分（6）,特定標的臓器毒性（単回ばく露）臓器種（6）,特定標的臓器毒性（単回ばく露）暴露経路（6）,特定標的臓器毒性（単回ばく露）区分（7）,特定標的臓器毒性（単回ばく露）臓器種（7）,特定標的臓器毒性（単回ばく露）暴露経路（7）,特定標的臓器毒性（単回ばく露）区分（8）,特定標的臓器毒性（単回ばく露）臓器種（8）,特定標的臓器毒性（単回ばく露）暴露経路（8）,特定標的臓器毒性（単回ばく露）区分（9）,特定標的臓器毒性（単回ばく露）臓器種（9）,特定標的臓器毒性（単回ばく露）暴露経路（9）,特定標的臓器毒性（単回ばく露）区分（10）,特定標的臓器毒性（単回ばく露）臓器種（10）,特定標的臓器毒性（単回ばく露）暴露経路（10）,特定標的臓器毒性（反復ばく露）,特定標的臓器毒性（反復ばく露）区分(1),特定標的臓器毒性（反復ばく露）臓器種(1),特定標的臓器毒性（反復ばく露）暴露経路(1),特定標的臓器毒性（反復ばく露）区分(2),特定標的臓器毒性（反復ばく露）臓器種(2),特定標的臓器毒性（反復ばく露）暴露経路(2),特定標的臓器毒性（反復ばく露）区分(3),特定標的臓器毒性（反復ばく露）臓器種(3),特定標的臓器毒性（反復ばく露）暴露経路(3),特定標的臓器毒性（反復ばく露）区分(4),特定標的臓器毒性（反復ばく露）臓器種(4),特定標的臓器毒性（反復ばく露）暴露経路(4),特定標的臓器毒性（反復ばく露）区分(5),特定標的臓器毒性（反復ばく露）臓器種(5),特定標的臓器毒性（反復ばく露）暴露経路(5),特定標的臓器毒性（反復ばく露）区分(6),特定標的臓器毒性（反復ばく露）臓器種(6),特定標的臓器毒性（反復ばく露）暴露経路(6),特定標的臓器毒性（反復ばく露）区分(7),特定標的臓器毒性（反復ばく露）臓器種(7),特定標的臓器毒性（反復ばく露）暴露経路(7),特定標的臓器毒性（反復ばく露）区分(8),特定標的臓器毒性（反復ばく露）臓器種(8),特定標的臓器毒性（反復ばく露）暴露経路(8),特定標的臓器毒性（反復ばく露）区分(9),特定標的臓器毒性（反復ばく露）臓器種(9),特定標的臓器毒性（反復ばく露）暴露経路(9),特定標的臓器毒性（反復ばく露）区分(10),特定標的臓器毒性（反復ばく露）臓器種(10),特定標的臓器毒性（反復ばく露）暴露経路(10),誤えん有害性,水生環境有害性　短期　（急性）,水生環境有害性　長期　（慢性）,オゾン層への有害性,急性毒性（経口）急性毒性推定値（ATE）mg/kg,急性毒性（経皮）急性毒性推定値（ATE）mg/kg,急性毒性（吸入：気体）急性毒性推定値（ATE）ppmV,急性毒性（吸入：蒸気）急性毒性推定値（ATE）ppmV,急性毒性（吸入：蒸気）急性毒性推定値（ATE）mg/L,急性毒性（吸入：粉じん、ミスト）急性毒性推定値（ATE）mg/l,LC50(魚類),EC50(甲殻類),EC50(藻類),毒性乗率　水生環境有害性　短期　（急性）,NOEC(魚類),NOEC(甲殻類),NOEC(藻類),急速分解性有無,毒性乗率　水生環境有害性　長期　（慢性）,GHS分類結果情報参照URL（日）,GHS分類結果情報参照URL（英）,ratio
m-nite-68860-54-8,NITE,68860-54-8,ターシャリ-アミルパーオキシ-3_5_5-トリメチルヘキサノエート,tert-Amylperoxy-3_5_5-Trimethylhexanoate,,,,,,,,,,,,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,タイプD,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-68860-54-8.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-688-84-6,NITE,688-84-6,メタクリル酸２－エチルヘキシル,2-Ethylhexyl methacrylate,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分4,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分2,区分に該当しない,分類できない,分類できない,分類できない,分類できない,区分2,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分2,区分2,分類できない,16465,,,,,,2.78,,,,,0.105,,有,,https://www.nite.go.jp/chem/ghs/m-nite-688-84-6.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-68912-13-0,NITE,68912-13-0,トリシクロ［５．２．１．０２_６］デカ－４－エン－３－イル＝プロピオナート,Tricyclo[5.2.1.0(2_6)]dec-4-enyl propionate,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない,区分に該当しない,分類できない,区分に該当しない,分類できない,分類できない,分類できない,,区分あり,区分3,麻酔作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分2,区分2,分類できない,5000,2500,,,,,,,2.5,,0.8,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-68912-13-0.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-68928-80-3,NITE,68928-80-3,ヘプタブロモジフェニルエーテル,Heptabromodiphenyl ether,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-68928-80-3.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-68937-41-7,NITE,68937-41-7,リン酸トリス(イソプロピルフェニル),Tris(isopropylphenyl) phosphate,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分2,神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,5000,,,,,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-68937-41-7.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-68955-20-4,NITE,68955-20-4,アルキル硫酸エステルナトリウム(アルキル基の炭素数が16から 18までのもの及びその混合物に限る。),Sodium alkyl sulfate (alkyl C=16-18),,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分2A,分類できない,区分に該当しない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分2,区分2,分類できない,2500,,,,,,5.2,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-68955-20-4.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-69012-64-2,NITE,69012-64-2,非晶質シリカ (ヒューム)、シリカヒューム (金属シリコン製造時の副生成物),Amorphous silica (fume)_ silica fume (byproduct of metal silicon products),,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分3,気道刺激性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-69012-64-2.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-69094-18-4,NITE,69094-18-4,2_2-dibromo-2-nitroethanol,2_2-dibromo-2-nitroethanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-69094-18-4.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-691-37-2,NITE,691-37-2,4-メチル-1-ペンテン,4-Methyl-1-pentene,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分2,区分に該当しない（分類対象外）,タイプG,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,,区分に該当しない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分に該当しない,区分に該当しない,分類できない,2500,,,,,,,,,,,,,無,,https://www.nite.go.jp/chem/ghs/m-nite-691-37-2.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-6915-15-7,NITE,6915-15-7,DL-リンゴ酸,DL-Malic acid,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分2,区分2A,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,3200,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-6915-15-7.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-6923-22-4,NITE,6923-22-4,りん酸ジメチル=（E）-1-メチル-2-（N-メチルカルバモイル）ビニル,monocrotophos,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,区分2,区分2,区分に該当しない（分類対象外）,分類できない,区分1,区分に該当しない,区分に該当しない,分類できない,区分に該当しない,区分2,区分に該当しない,区分に該当しない,,区分あり,区分1,神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,,14,112,,,,0.0408,,0.16,,1,,,,無,1,https://www.nite.go.jp/chem/ghs/m-nite-6923-22-4.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-693-13-0,NITE,693-13-0,1_3-ジイソプロピルカルボジイミド,1_3-Diisopropylcarbodiimide,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分3,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,区分1,分類できない,区分1,分類できない,分類できない,分類できない,,区分あり,区分1,中枢神経系,,区分1,視覚器,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分2,中枢神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-693-13-0.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-69327-76-0,NITE,69327-76-0,2-tert-ブチルイミノ-3-イソプロピル-5-フェニルテトラヒドロ-4H-1_3_5-チアジアジン-4-オン,2-tert-Butylimino-3-isopropyl-5-phenyltetrahydro-4H-1_3_5-thiadiazin-4-one; buprofezin,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分4,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分4,区分に該当しない,区分2B,分類できない,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分2,血液系,,区分2,肝臓,,区分2,腎臓,,区分2,甲状腺,,区分2,脳,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,,1635,5000,,,,4.57,0.527,,,1,,,,無,1,https://www.nite.go.jp/chem/ghs/m-nite-69327-76-0.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-693-98-1,NITE,693-98-1,2-メチルイミダゾール,2-Methylimidazole,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分4,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,区分2,区分2,区分1B,,区分あり,区分2,神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分2,甲状腺,,区分2,造血系,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分に該当しない,区分に該当しない,分類できない,1400,,,,,,,200,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-693-98-1.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-69409-94-5,NITE,69409-94-5,フルバリナート,Fluvalinate,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分4,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分3,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分2,区分3,区分2B,分類できない,区分に該当しない,分類できない,区分に該当しない,区分に該当しない,,区分あり,区分1,神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,皮膚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,,261,2500,,,,0.439,,0.000018,,10000,,,,無,10000,https://www.nite.go.jp/chem/ghs/m-nite-69409-94-5.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-69523-06-4,NITE,69523-06-4,フェロセリウム,Ferrocerium,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分1,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-69523-06-4.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-69-72-7,NITE,69-72-7,サリチル酸,Salicylic acid,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分4,区分に該当しない,区分に該当しない（分類対象外）,分類できない,分類できない,区分2,区分1,分類できない,区分1,区分に該当しない,分類できない,区分2,,区分あり,区分1,中枢神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,中枢神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分3,区分に該当しない,分類できない,891,2500,,,,,100,,65,,,,31,有,,https://www.nite.go.jp/chem/ghs/m-nite-69-72-7.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-6988-21-2,NITE,6988-21-2,2-（1_3-ジオキソラン-2-イル）-フェニル-N-メチルカルバメート,dioxacarb,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分2,区分4,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,区分2A,分類できない,分類できない,分類できない,分類できない,区分1B,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,25,1950,,,,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-6988-21-2.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-700-13-0,NITE,700-13-0,2_3_5-トリメチルハイドロキノン,2_3_5-Trimethylhydroquinone,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,分類できない,区分に該当しない（分類対象外）,分類できない,区分4,区分1,区分1,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分2,血液系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,分類できない,3200,,,,,1.5,,0.97,,1,,,,無,1,https://www.nite.go.jp/chem/ghs/m-nite-700-13-0.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-70-25-7,NITE,70-25-7,N-メチル-N'-ニトロ-N-ニトロソグアニジン,N-Methyl-N'-nitro-N-nitrosoguanidine,,,,,,,,,,,,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,区分4,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分1,区分1,分類できない,区分1,区分2,区分1B,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,378,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-70-25-7.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-70-30-4,NITE,70-30-4,2_2'‐メチレンビス（3_4_6‐トリクロロフェノール）（別名ヘキサクロロフェン）,2_2'-methylenebis-(3_4_6-trichlorophenol); hexachlorophene,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分3,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,区分に該当しない,区分に該当しない,区分2,,区分あり,区分1,神経系,,区分1,視覚系,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,,56,,,,,,,0.008,,100,,,,無,100,https://www.nite.go.jp/chem/ghs/m-nite-70-30-4.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-70-34-8,NITE,70-34-8,1-フルオロ-2_4-ジニトロベンゼン,1-Fluoro-2_4-dinitrobenzene,,,,,,,,,,,,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分2,分類できない,分類できない,区分1,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-70-34-8.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
